G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
10,2022-11-04,25-109,IND,L (-2),@,Bam Adebayo  ,MIA,1.0,33.86666666666667,7.0,14.0,0.0,1.0,4.0,4.0,3.0,7.0,10.0,4.0,1.0,0.0,5.0,4.0,18.0,3.0,0.571,0.5,9.4,25.4,16.9,26.9,1.4,0.0,24.1,26.4,99.0,100.0,12.4,-0.1
11,2022-11-07,25-112,POR,L (-3),,Bam Adebayo  ,MIA,1.0,33.36666666666667,8.0,14.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,16.0,2.0,0.554,0.571,7.6,13.9,10.4,15.1,1.5,4.1,6.5,22.1,112.0,118.0,13.7,-0.9
12,2022-11-10,25-115,CHO,W (+5),,Bam Adebayo  ,MIA,1.0,38.6,6.0,15.0,0.0,1.0,6.0,6.0,2.0,12.0,14.0,4.0,2.0,0.0,5.0,5.0,18.0,9.0,0.51,0.4,5.5,43.4,21.8,17.9,2.6,0.0,22.1,26.8,92.0,100.0,12.7,-2.2
13,2022-11-12,25-117,CHO,W (+17),,Bam Adebayo  ,MIA,1.0,33.06666666666667,11.0,18.0,0.0,0.0,2.0,3.0,1.0,14.0,15.0,4.0,1.0,1.0,5.0,4.0,24.0,19.0,0.621,0.611,3.5,49.6,26.2,17.6,1.4,2.5,20.6,30.9,103.0,108.0,18.2,-1.7
14,2022-11-14,25-119,PHO,W (+1),,Bam Adebayo  ,MIA,1.0,36.233333333333334,9.0,18.0,0.0,1.0,12.0,14.0,6.0,4.0,10.0,1.0,1.0,0.0,3.0,2.0,30.0,12.0,0.621,0.5,18.9,11.8,15.2,5.1,1.5,0.0,11.0,33.3,132.0,128.0,23.5,0.3
15,2022-11-20,25-125,CLE,L (-26),@,Bam Adebayo  ,MIA,1.0,26.966666666666665,7.0,14.0,0.0,0.0,7.0,7.0,2.0,4.0,6.0,3.0,0.0,1.0,3.0,2.0,21.0,-20.0,0.615,0.5,7.6,22.2,13.5,28.8,0.0,3.9,14.9,33.8,115.0,122.0,15.6,6.0
16,2022-11-21,25-126,MIN,L (-4),@,Bam Adebayo  ,MIA,1.0,34.983333333333334,7.0,18.0,0.0,2.0,3.0,6.0,4.0,10.0,14.0,5.0,0.0,2.0,1.0,5.0,17.0,-11.0,0.412,0.389,11.9,34.3,22.3,27.0,0.0,7.2,4.6,25.1,100.0,101.0,13.7,-0.6
17,2022-11-23,25-128,WAS,W (+8),,Bam Adebayo  ,MIA,1.0,35.35,5.0,15.0,0.0,0.0,5.0,6.0,4.0,7.0,11.0,2.0,2.0,1.0,2.0,4.0,15.0,6.0,0.425,0.333,10.9,20.7,15.6,8.4,2.7,2.7,10.2,23.3,99.0,100.0,11.5,-5.3
18,2022-11-25,25-130,WAS,W (+3),,Bam Adebayo  ,MIA,1.0,35.3,15.0,22.0,0.0,1.0,8.0,8.0,3.0,9.0,12.0,3.0,0.0,0.0,0.0,4.0,38.0,1.0,0.745,0.682,9.7,24.5,17.7,18.9,0.0,0.0,0.0,31.8,158.0,110.0,33.9,14.8
19,2022-11-27,25-132,ATL,W (+8),@,Bam Adebayo  ,MIA,1.0,33.7,13.0,20.0,0.0,0.0,6.0,6.0,1.0,7.0,8.0,1.0,0.0,1.0,3.0,2.0,32.0,1.0,0.707,0.65,3.6,20.8,12.9,6.6,0.0,2.7,11.7,35.7,121.0,106.0,23.6,3.5
1,2022-10-19,22-182,DEN,W (+21),,Ochai Agbaji  ,UTA,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,-2.6
2,2022-10-28,22-191,DEN,L (-16),@,Ochai Agbaji  ,UTA,0.0,19.0,4.0,7.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,-6.0,0.571,0.571,0.0,5.4,2.6,0.0,0.0,0.0,0.0,18.4,110.0,131.0,4.8,-6.7
3,2022-10-29,22-192,MEM,W (+1),,Ochai Agbaji  ,UTA,0.0,17.75,2.0,6.0,0.0,2.0,3.0,5.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,-12.0,0.427,0.333,20.3,8.0,14.6,6.8,0.0,0.0,0.0,19.3,118.0,127.0,5.9,-7.8
4,2022-10-31,22-194,MEM,W (+16),,Ochai Agbaji  ,UTA,0.0,21.15,2.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.333,0.333,5.0,8.3,6.8,0.0,0.0,0.0,0.0,12.0,82.0,108.0,0.7,-11.2
5,2022-11-04,22-198,LAL,W (+14),@,Ochai Agbaji  ,UTA,0.0,1.2833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,-7.5
6,2022-11-07,22-201,LAL,W (+23),,Ochai Agbaji  ,UTA,0.0,6.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.2,-6.2
1,2022-10-19,21-282,NYK,W (+3),,Santi Aldama  ,MEM,1.0,38.983333333333334,7.0,14.0,3.0,8.0,1.0,2.0,2.0,9.0,11.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.605,0.607,4.9,19.7,12.7,4.2,1.3,1.9,0.0,15.4,136.0,102.0,16.7,4.6
2,2022-10-21,21-284,HOU,W (+7),@,Santi Aldama  ,MEM,1.0,31.033333333333335,3.0,11.0,0.0,3.0,2.0,4.0,4.0,5.0,9.0,3.0,1.0,3.0,1.0,1.0,8.0,22.0,0.313,0.273,12.6,16.8,14.7,11.5,1.5,8.0,7.3,17.3,96.0,115.0,8.8,-5.3
3,2022-10-22,21-285,DAL,L (-41),@,Santi Aldama  ,MEM,1.0,20.783333333333335,2.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,5.0,8.0,-10.0,0.752,0.625,10.7,24.3,17.1,0.0,0.0,0.0,27.3,15.9,115.0,137.0,4.6,-7.2
4,2022-10-24,21-287,BRK,W (+10),,Santi Aldama  ,MEM,1.0,32.4,6.0,8.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,17.0,17.0,0.912,0.875,7.8,8.5,8.1,0.0,1.5,2.6,0.0,11.9,194.0,127.0,17.1,7.7
5,2022-10-27,21-290,SAC,W (+15),@,Santi Aldama  ,MEM,1.0,29.883333333333333,2.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,4.0,1.0,0.333,0.333,0.0,7.8,3.9,3.5,3.3,7.1,0.0,8.6,83.0,107.0,3.7,-3.1
6,2022-10-29,21-292,UTA,L (-1),@,Santi Aldama  ,MEM,1.0,29.566666666666666,4.0,8.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,5.0,10.0,-10.0,0.536,0.5,0.0,12.2,6.6,3.7,0.0,0.0,17.7,16.0,96.0,128.0,3.2,-11.0
7,2022-10-31,21-294,UTA,L (-16),@,Santi Aldama  ,MEM,1.0,23.683333333333334,1.0,7.0,0.0,1.0,1.0,2.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,0.19,0.143,14.7,18.0,16.2,5.6,0.0,4.8,0.0,12.6,77.0,119.0,2.3,-8.4
8,2022-11-02,21-296,POR,W (+5),@,Santi Aldama  ,MEM,1.0,28.983333333333334,4.0,8.0,2.0,4.0,1.0,2.0,3.0,4.0,7.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.619,0.625,12.4,12.7,12.6,0.0,0.0,5.9,0.0,13.5,135.0,108.0,10.1,0.9
9,2022-11-04,21-298,CHO,W (+31),,Santi Aldama  ,MEM,1.0,21.016666666666666,5.0,9.0,2.0,5.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,12.0,19.0,0.667,0.667,4.9,16.9,11.3,5.9,2.2,7.7,18.2,20.3,113.0,90.0,9.9,4.3
10,2022-11-06,21-300,WAS,W (+6),,Santi Aldama  ,MEM,1.0,26.9,2.0,9.0,0.0,4.0,0.0,1.0,0.0,10.0,10.0,2.0,3.0,0.0,0.0,3.0,4.0,6.0,0.212,0.222,0.0,33.7,18.0,10.1,5.7,0.0,0.0,15.3,59.0,87.0,4.3,-3.4
11,2022-11-07,21-301,BOS,L (-3),,Santi Aldama  ,MEM,1.0,18.483333333333334,3.0,7.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,-16.0,0.571,0.571,5.6,0.0,2.9,0.0,0.0,0.0,0.0,16.8,114.0,115.0,4.6,-1.2
12,2022-11-09,21-303,SAS,W (+2),@,Santi Aldama  ,MEM,1.0,22.983333333333334,3.0,5.0,1.0,2.0,0.0,0.0,4.0,3.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,7.0,0.7,0.7,21.0,14.4,17.5,5.4,2.2,3.8,0.0,9.4,175.0,113.0,10.0,7.4
13,2022-11-11,21-305,MIN,W (+11),,Santi Aldama  ,MEM,1.0,34.333333333333336,5.0,7.0,1.0,2.0,1.0,2.0,1.0,6.0,7.0,0.0,2.0,1.0,1.0,3.0,12.0,10.0,0.761,0.786,3.4,22.1,12.4,0.0,3.0,2.9,11.3,11.0,135.0,105.0,11.7,2.9
14,2022-11-13,21-307,WAS,L (-10),@,Santi Aldama  ,MEM,1.0,28.733333333333334,6.0,11.0,3.0,4.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,3.0,2.0,5.0,15.0,3.0,0.682,0.682,6.4,18.2,11.9,11.9,1.7,10.9,15.4,18.7,119.0,96.0,13.1,8.4
15,2022-11-15,21-309,NOP,L (-11),@,Santi Aldama  ,MEM,0.0,24.866666666666667,3.0,6.0,1.0,3.0,1.0,2.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,3.0,8.0,-2.0,0.581,0.583,3.9,26.3,14.4,6.0,2.0,0.0,0.0,11.6,132.0,115.0,7.6,0.8
16,2022-11-18,21-312,OKC,W (+11),,Santi Aldama  ,MEM,0.0,23.1,4.0,9.0,3.0,7.0,4.0,4.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,15.0,2.0,0.697,0.611,8.0,21.6,14.5,6.8,0.0,0.0,0.0,18.4,158.0,112.0,13.5,7.3
17,2022-11-20,21-314,BRK,L (-12),@,Santi Aldama  ,MEM,1.0,21.1,2.0,7.0,1.0,4.0,3.0,4.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,-13.0,0.457,0.357,0.0,19.0,7.7,5.9,2.2,0.0,0.0,16.2,105.0,123.0,5.7,-5.1
18,2022-11-22,21-316,SAC,L (-4),,Santi Aldama  ,MEM,0.0,16.383333333333333,3.0,9.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,7.0,-18.0,0.389,0.389,6.0,6.5,6.2,18.2,8.2,6.5,0.0,21.6,98.0,93.0,6.8,5.6
19,2022-11-27,21-321,NYK,W (+4),@,Santi Aldama  ,MEM,0.0,17.7,3.0,7.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,7.0,4.0,0.5,0.5,5.9,17.7,11.8,7.2,0.0,0.0,12.5,18.3,102.0,128.0,3.4,-7.7
1,2022-10-19,24-047,DEN,W (+21),,Nickeil Alexander-Walker  ,UTA,0.0,0.9166666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,-505.3,0.0,0.0,0.0,45.3,215.0,109.0,2.4,71.7
2,2022-10-24,24-052,HOU,L (-6),@,Nickeil Alexander-Walker  ,UTA,0.0,5.216666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,7.7,66.0,127.0,-0.4,-13.6
3,2022-10-28,24-056,DEN,L (-16),@,Nickeil Alexander-Walker  ,UTA,0.0,8.483333333333333,2.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,9.0,0.595,0.5,0.0,0.0,0.0,84.8,5.9,11.8,0.0,30.7,142.0,115.0,8.8,32.5
