Name,Week,Tm,FPoints
Eugene Omoruyi  ,2.0,OKC,-4
Eugene Omoruyi  ,3.0,OKC,54
Evan Fournier  ,0.0,NYK,28
Evan Fournier  ,1.0,NYK,51
Evan Fournier  ,2.0,NYK,8
Evan Fournier  ,3.0,NYK,8
Evan Mobley  ,0.0,CLE,48
Evan Mobley  ,1.0,CLE,68
Evan Mobley  ,2.0,CLE,48
Evan Mobley  ,3.0,CLE,88
Facundo Campazzo  ,1.0,DAL,7
Facundo Campazzo  ,3.0,DAL,0
Frank Kaminsky  ,1.0,ATL,3
Frank Kaminsky  ,2.0,ATL,4
Frank Kaminsky  ,3.0,ATL,9
Franz Wagner  ,0.0,ORL,144
Franz Wagner  ,1.0,ORL,153
Franz Wagner  ,2.0,ORL,201
Franz Wagner  ,3.0,ORL,204
Franz Wagner  ,4.0,ORL,66
Fred VanVleet  ,0.0,TOR,77
Fred VanVleet  ,1.0,TOR,52
Fred VanVleet  ,2.0,TOR,42
Fred VanVleet  ,3.0,TOR,81
Furkan Korkmaz  ,1.0,PHI,1
Furkan Korkmaz  ,2.0,PHI,3
Furkan Korkmaz  ,3.0,PHI,11
Gabe Vincent  ,0.0,MIA,27
Gabe Vincent  ,1.0,MIA,29
Gabe Vincent  ,2.0,MIA,37
Gabe Vincent  ,3.0,MIA,46
Gabe Vincent  ,4.0,MIA,13
Garrett Temple  ,1.0,NOP,9
Garrison Mathews  ,0.0,HOU,3
Garrison Mathews  ,1.0,HOU,27
Garrison Mathews  ,2.0,HOU,16
Garrison Mathews  ,3.0,HOU,5
Garrison Mathews  ,4.0,HOU,1
Gary Trent Jr.  ,0.0,TOR,94
Gary Trent Jr.  ,1.0,TOR,106
Gary Trent Jr.  ,2.0,TOR,106
Gary Trent Jr.  ,3.0,TOR,80
George Hill  ,0.0,MIL,20
George Hill  ,1.0,MIL,28
George Hill  ,2.0,MIL,14
George Hill  ,3.0,MIL,19
George Hill  ,4.0,MIL,6
Georges Niang  ,0.0,PHI,10
Georges Niang  ,1.0,PHI,45
Georges Niang  ,2.0,PHI,33
Georges Niang  ,3.0,PHI,51
Giannis Antetokounmpo  ,0.0,MIL,188
Giannis Antetokounmpo  ,1.0,MIL,274
Giannis Antetokounmpo  ,2.0,MIL,226
Giannis Antetokounmpo  ,3.0,MIL,40
Giannis Antetokounmpo  ,4.0,MIL,24
Goga Bitadze  ,0.0,IND,43
Goga Bitadze  ,1.0,IND,15
Goga Bitadze  ,2.0,IND,6
Goga Bitadze  ,3.0,IND,-1
Goran Dragic  ,0.0,CHI,29
Goran Dragic  ,1.0,CHI,34
Goran Dragic  ,2.0,CHI,57
Goran Dragic  ,3.0,CHI,39
Gordon Hayward  ,0.0,CHO,57
Gordon Hayward  ,1.0,CHO,62
Gordon Hayward  ,2.0,CHO,19
Gorgui Dieng  ,0.0,SAS,16
Gorgui Dieng  ,1.0,SAS,6
Gorgui Dieng  ,2.0,SAS,16
Gorgui Dieng  ,4.0,SAS,7
Grant Williams  ,0.0,BOS,195
Grant Williams  ,1.0,BOS,54
Grant Williams  ,2.0,BOS,126
Grant Williams  ,3.0,BOS,216
Grant Williams  ,4.0,BOS,39
Grayson Allen  ,0.0,MIL,22
Grayson Allen  ,1.0,MIL,31
Grayson Allen  ,2.0,MIL,59
Grayson Allen  ,3.0,MIL,34
Grayson Allen  ,4.0,MIL,2
Greg Brown III  ,1.0,POR,5
Greg Brown III  ,2.0,POR,2
Hamidou Diallo  ,0.0,DET,3
Hamidou Diallo  ,1.0,DET,29
Hamidou Diallo  ,2.0,DET,14
Hamidou Diallo  ,3.0,DET,30
Hamidou Diallo  ,4.0,DET,8
Harrison Barnes  ,0.0,SAC,23
Harrison Barnes  ,1.0,SAC,35
Harrison Barnes  ,2.0,SAC,43
Harrison Barnes  ,3.0,SAC,61
Harrison Barnes  ,4.0,SAC,23
